iter	RMSE
363	3.646121113
364	3.639697628
365	3.634463982
366	3.633253072
367	3.630169433
368	3.628966578
369	3.625439226
370	3.623575343
371	3.620416189
372	3.613753727
373	3.610240091
374	3.604857755
375	3.602840515
376	3.602669702
377	3.59714412
378	3.594582952
379	3.589461896
380	3.583957633
381	3.581164933
382	3.577042983
383	3.574300884
384	3.568548931
385	3.563192087
386	3.560200726
387	3.559875217
388	3.55658247
389	3.555277436
390	3.551792218
391	3.549264882
392	3.54571927
393	3.541255829
394	3.538320427
395	3.537012464
396	3.534544151
397	3.532896746
398	3.531572671
399	3.527033171
400	3.522524544
401	3.515755704
402	3.509175909
403	3.504882375
404	3.503283371
405	3.501066322
406	3.496156163
407	3.491075689
408	3.486623099
409	3.484455852
410	3.48425885
411	3.481552374
412	3.478636914
413	3.475347458
414	3.469508299
415	3.467028436
416	3.466751708
417	3.464088586
418	3.463817531
419	3.463408034
420	3.458421721
421	3.455910904
422	3.452803508
423	3.450326826
424	3.449947439
425	3.449354478
426	3.443274093
427	3.437807009
428	3.43050024
429	3.429506869
430	3.429352937
431	3.426664647
432	3.423883308
433	3.421303852
434	3.415626015
435	3.41213275
436	3.408352596
437	3.405178038
438	3.404406465
439	3.403401156
440	3.401829716
441	3.397409628
442	3.396211692
443	3.392173069
444	3.384494131
445	3.383264138
446	3.380059266
447	3.372802011
448	3.370642539
449	3.365086796
450	3.361457808
451	3.357898021
452	3.353702103
453	3.353495015
454	3.35073751
455	3.348305366
456	3.347329816
457	3.345939879
458	3.343296311
459	3.340292849
460	3.338174825
461	3.333363134
462	3.32695422
463	3.32478307
464	3.319489032
465	3.31698206
466	3.313854354
467	3.311724515
468	3.307768121
469	3.304788423
470	3.301946541
471	3.300078803
472	3.298585325
473	3.296372164
474	3.29400904
475	3.291691787
476	3.291239642
477	3.289173999
478	3.285331515
479	3.276689541
480	3.276102908
481	3.275029257
482	3.274202549
483	3.27225332
484	3.265018193
485	3.264806579
486	3.262638088
487	3.260781672
488	3.257551333
489	3.256354481
490	3.253597378
491	3.251216105
492	3.250589421
493	3.250482669
494	3.247920701
495	3.247570459
496	3.243982829
497	3.238945389
498	3.234823412
499	3.229696286
